Date,IWD,IWF,IWO,IWN,EFA,IEMG,TIP,GOVT,GLD,VNQ
2013-08-07,79.374786,72.33976700000001,115.92213400000001,83.07467700000001,53.971680000000006,41.559666,106.885857,23.170847,124.150002,56.271618000000004
2013-08-08,79.609711,72.687698,116.412971,83.40459399999999,54.456871,42.308563,106.999252,23.180301999999998,126.860001,56.296337
2013-08-09,79.419975,72.490219,116.38410900000001,83.23962399999999,54.55390500000001,42.425861,107.10318000000001,23.199198000000003,126.860001,56.790977000000005
2013-08-12,79.302498,72.45259899999999,117.182892,83.597038,54.403942,42.705574,106.819725,23.161398000000002,129.130005,56.387028
2013-08-13,79.4561,72.631279,117.173286,83.377083,54.75680500000001,42.94017,105.88436899999999,23.057453,127.739998,55.612122
2013-08-14,79.121811,72.179901,116.643951,83.056343,54.783276,43.066494,105.6576,23.057453,129.0,55.397774
2013-08-15,78.091789,71.060913,114.180176,81.700012,54.324539,42.552177,104.901779,23.000751,131.690002,54.383801
2013-08-16,77.775566,70.901077,113.872215,81.250938,54.421581,42.290516,104.410484,22.981857,132.580002,53.048325
2013-08-19,77.088852,70.656578,112.880951,80.261215,54.033424,41.505520000000004,103.78690300000001,22.915699,132.009995,52.347614
2013-08-20,77.576775,71.013901,114.555527,81.45257600000001,53.962841000000004,41.496502,104.42935200000001,22.981857,132.449997,53.534698
2013-08-21,77.034653,70.684792,114.035812,80.829399,53.327681999999996,40.522018,103.692429,22.915699,132.070007,53.411049
2013-08-22,77.667114,71.34300999999999,115.63343,81.95661899999999,53.848167000000004,41.117531,103.73966999999999,22.906246,132.809998,53.732544
2013-08-23,77.920113,71.70034,115.854774,82.13073,54.315723,41.559666,104.467148,22.962954,134.899994,54.293121
2013-08-26,77.549683,71.625107,116.01837900000001,82.011604,53.918743000000006,41.180698,104.83563199999999,23.000751,135.449997,54.13649
2013-08-27,76.293762,70.440292,113.05416100000001,80.279526,53.001278000000006,40.233288,105.47811899999999,23.066902,136.75,53.872692
2013-08-28,76.564835,70.600143,113.439117,80.325356,52.939522,40.314499,105.090721,23.019652999999998,136.71000700000002,53.542942000000004
2013-08-29,76.519638,70.92926800000001,114.911621,80.939369,52.851303,40.648338,104.94901999999999,23.019652999999998,135.869995,53.625378000000005
2013-08-30,76.320854,70.647148,113.121536,79.66553499999999,52.198485999999995,40.946095,104.627769,23.029101999999998,134.619995,53.171974
2013-09-03,76.510612,71.013901,114.26680800000001,79.949623,53.204174,41.288971000000004,104.08213,22.950609,136.419998,52.710331000000004
2013-09-04,77.170181,71.54048900000001,115.373573,80.572784,53.680546,41.902527,103.552521,22.931704999999997,134.66000400000001,53.163731000000006
2013-09-05,77.278595,71.709747,115.623802,80.792732,53.63644,42.281490000000005,102.80545,22.827676999999998,132.199997,52.603161
2013-09-06,77.323776,71.69094100000001,115.739304,80.994354,53.927558999999995,42.867981,103.23101,22.856045,134.149994,53.419292000000006
2013-09-09,78.073708,72.537224,117.62559499999999,82.176559,54.66859399999999,43.896603000000006,103.420135,22.884415,133.91000400000001,54.532196
2013-09-10,78.679077,73.082611,118.944115,82.882202,55.286118,44.311661,103.249924,22.856045,131.740005,54.490978000000005
2013-09-11,78.89591999999999,73.308311,118.89598799999999,82.909706,55.480198,44.275562,103.836258,22.912785,131.699997,54.927882999999994
2013-09-12,78.57968100000001,73.214272,118.15493000000001,82.378174,55.162613,43.824417,103.883522,22.912785,127.66999799999999,54.573406000000006
2013-09-13,78.796547,73.364723,118.73238400000001,82.698929,55.427265000000006,44.068034999999995,103.87406899999999,22.931704999999997,127.82,54.730042000000005
2013-09-16,79.302498,73.684441,118.89598799999999,83.010506,55.859531000000004,44.492111,104.157768,22.941157999999998,126.449997,55.274136
2013-09-17,79.564514,74.098198,120.137482,83.743652,55.89482099999999,44.483093,104.56443,22.978983,126.5,55.24114599999999
2013-09-18,80.449997,75.000916,121.23463400000001,84.68759200000001,57.385707999999994,46.20647,105.954567,23.120832,132.009995,57.112473
2013-09-19,80.197014,75.066734,121.369377,84.430984,57.112221,46.125263000000004,105.61413600000002,23.092453,131.75,57.063019
