,IWD,IWF,IWO,IWN,EFA,IEMG,TIP,GOVT,GLD,VNQ,EUR/USD,GBP/USD,AUD/USD,USD/JPY,USD/CNY,GDP,Unemployment,CPI adj,IP,Federal Debt,PCEC,Interest Rate,Credit Rate,10-Yr. Treas. Rate,Payroll Employment
2014-03-11,-0.006676466090373645,-0.0036266400370524865,-0.01058720618049458,-0.008861751281752484,-0.007287339718872854,-0.009521694776697731,-0.0002674275056793185,0.0008163540494445787,0.005653186492171169,0.006289428942501729,1.387887,1.664004,0.9024459999999999,103.236,6.1286,3.2865671641791043,6.578260869565217,236.1103043478261,104.62341304347825,102.16883835820896,11755.698746268656,0.08304347826086957,0.75,2.77,138087.65217391305
2014-03-12,0.0010502734759705312,0.0,0.0023540993458359694,0.0032784195016513085,-0.003745372707500083,0.001922688016441576,0.00214004878256846,0.001631118867991388,0.014631094912743725,0.002982584665174759,1.385809,1.662068,0.896539,102.839996,6.1302,3.368656716417911,6.560869565217391,236.13234782608694,104.63324347826087,102.1457528358209,11757.964074626865,0.08347826086956522,0.75,2.73,138101.1739130435
2014-03-13,-0.009127237761326845,-0.012852376636765417,-0.014091511841105797,-0.008020800493801605,-0.01864647109289752,-0.018763451299230738,0.00409275843971546,0.0020358996035254595,0.0034153917507360187,-0.004673050640910614,1.3904530000000002,1.6621240000000002,0.899766,102.782997,6.1351,3.4507462686567165,6.543478260869565,236.15439130434783,104.64307391304347,102.12266731343283,11760.229402985075,0.08391304347826087,0.75,2.66,138114.69565217392
2014-03-14,-0.002011543430520235,-0.0023045461839298342,0.0031040991705386656,0.003893182104220738,-0.0021452360984961505,0.006518900314213205,-0.00017717354596180623,0.0012190578826551945,0.0067317067761745175,0.002561046329217387,1.386539,1.662511,0.903016,101.779999,6.1262,3.532835820895522,6.526086956521739,236.17643478260868,104.65290434782608,102.09958179104477,11762.494731343282,0.08434782608695653,0.75,2.65,138128.21739130435
2014-03-17,0.00912371003732737,0.008430631225574414,0.00590094159309662,0.004971639225559432,0.012592159333917774,0.011226315544857757,-0.002304290742152215,-0.0024351471799454183,-0.010969248190717762,0.0021284930710172567,1.391304,1.664253,0.902935,101.33000200000001,6.1403,3.6149253731343287,6.508695652173913,236.19847826086956,104.6627347826087,102.07649626865671,11764.760059701492,0.08478260869565217,0.75,2.7,138141.73913043478
2014-03-18,0.006622933686439181,0.00847455024311139,0.016954977354501688,0.010982458457778677,0.0062177758143338036,0.013236540029870847,0.0019542999773005665,0.001627608416377102,-0.007748435184962266,0.0029741678869688037,1.3926610000000001,1.663921,0.90843,101.859001,6.1682,3.6970149253731344,6.491304347826087,236.22052173913042,104.6725652173913,102.05341074626865,11767.025388059701,0.08521739130434783,0.75,2.68,138155.26086956522
2014-03-19,-0.004699641810514965,-0.006472690309862417,-0.007175357212355626,-0.006165415168507993,-0.012207978369737416,-0.018541962584278537,-0.009220833778935011,-0.004874207090405425,-0.019369155541615224,-0.01892108666525938,1.3930879999999999,1.6598060000000001,0.913325,101.440002,6.1821,3.77910447761194,6.473913043478261,236.2425652173913,104.68239565217391,102.0303252238806,11769.29071641791,0.08565217391304347,0.75,2.78,138168.78260869565
2014-03-20,0.007135472026793543,0.0030857520863443177,-0.0002835139380030771,0.003545023434058603,-0.003814519213305667,0.002361574020041557,-0.00313184547747114,-0.0004080911379206187,-0.001795573481007784,0.0017269724065995806,1.3819219999999999,1.653904,0.903016,102.468002,6.194,3.8611940298507466,6.456521739130435,236.26460869565216,104.69222608695652,102.00723970149254,11771.556044776118,0.08608695652173913,0.75,2.79,138182.30434782608
2014-03-21,-0.0008333352060779786,-0.007292387283063251,-0.009851767865189376,0.0005886405468553679,-0.001991056434684002,0.006211245989385272,0.003770161865058075,0.0012249450765955405,0.0047708430723381046,0.009195541899879922,1.378208,1.650873,0.903832,102.406998,6.2176,3.943283582089552,6.439130434782609,236.28665217391304,104.70205652173912,101.98415417910448,11773.821373134328,0.08652173913043479,0.75,2.75,138195.8260869565
2014-03-24,-0.0019813912306112513,-0.006542806976613802,-0.016607056534020614,-0.005884171697236651,0.002608940666572135,0.005321432382866975,0.0012519594919568888,0.0,-0.017825180837353516,-0.0065489960541527115,1.379558,1.6490220000000002,0.909422,102.240997,6.2151,4.025373134328358,6.421739130434783,236.3086956521739,104.71188695652174,101.96106865671642,11776.086701492537,0.08695652173913043,0.75,2.74,138209.34782608695
2014-03-25,0.005385519636202707,0.002967201327573221,-0.0010277688540283325,0.0009303271504628174,0.010867890427575633,0.011856790979410281,-0.000267736287521414,-0.0004079728046736397,0.0018228245363764994,0.009130739655909492,1.383892,1.6498380000000001,0.912992,102.207001,6.1859,4.107462686567164,6.404347826086957,236.33073913043478,104.72171739130434,101.93798313432836,11778.352029850746,0.08739130434782609,0.75,2.75,138222.86956521738
2014-03-26,-0.006579493984753548,-0.009708757230834753,-0.020801821080672966,-0.018694387303841764,-0.00015143712968168632,0.0008370404960549305,0.003484077126853169,0.002855944979661018,-0.007910766302958061,-0.0112921067883609,1.381903,1.653302,0.9162540000000001,102.285004,6.1917,4.18955223880597,6.386956521739131,236.35278260869563,104.73154782608695,101.9148976119403,11780.617358208954,0.08782608695652173,0.75,2.71,138236.39130434784
2014-03-27,-0.0003153701255678154,-0.0023341816703540408,-0.002534230996139697,-0.0022176397324155106,0.004997654573047905,0.012544418105772115,0.00035623519710070717,-0.00040689140318428407,-0.006538617126589097,0.006360951727388375,1.378208,1.657687,0.9218290000000001,101.903,6.1994,4.271641791044776,6.369565217391305,236.37482608695652,104.74137826086957,101.89181208955223,11782.882686567164,0.08826086956521739,0.75,2.69,138249.91304347827
2014-03-28,0.005152842244431355,0.004211334918883258,-0.002465754467390391,0.0030307694159970033,0.007534632989275147,0.006813975552308671,-0.002491866340000204,-0.000813814314935879,-0.00024077374559039466,0.0060337232459948265,1.374136,1.6607990000000001,0.9266979999999999,102.147003,6.2029,4.353731343283582,6.352173913043478,236.39686956521737,104.75120869565217,101.86872656716417,11785.148014925373,0.08869565217391304,0.75,2.73,138263.4347826087
2014-03-31,0.009625672728289958,0.008154807366802963,0.019252242887786375,0.015610684085715754,0.005085345317426659,0.006562683494418131,0.00017824951352962692,-0.0008146914278005513,-0.007626822537360689,0.008425004633561217,1.377505,1.666639,0.9268700000000001,103.21399699999999,6.2072,4.517910447761194,6.317391304347826,236.4409565217391,104.77086956521738,101.82255552238806,11789.67867164179,0.08956521739130435,0.75,2.73,138290.47826086957
2014-04-01,0.0042483316669788,0.01051534206472815,0.014773058919913984,0.011007576318013301,0.0063988053752694896,0.010391235109576069,-0.0034790859790038153,-0.00024486405262746924,-0.0017798074445448675,0.004531608917980989,1.3794819999999999,1.663312,0.9238729999999999,103.633003,6.1969,4.6,6.3,236.463,104.7807,101.79947,11791.944,0.09,0.75,2.77,138304.0
2014-04-02,0.0026830276999914027,0.003316138270424096,0.003983245004169911,0.0051988549724206745,0.0019222821397373302,0.004234699323906632,-0.0022378226557705494,-0.0020404758295937686,0.007537085724427239,0.0008455867129921746,1.376823,1.6627319999999999,0.9247270000000001,103.866997,6.1957,4.607692307692307,6.3,236.47853846153845,104.79220769230768,101.79108217948718,11793.856807692307,0.09,0.75,2.82,138313.6923076923
2014-04-03,0.0012348896222518224,-0.005128755259536377,-0.01413906170538981,-0.006245205799155662,-0.002804169180522953,-0.0060240918704099755,0.001166448842150114,0.0,-0.003217519305019345,-0.0021130668122524288,1.372382,1.659889,0.923276,103.896004,6.2007,4.615384615384615,6.3,236.49407692307693,104.80371538461539,101.78269435897435,11795.769615384615,0.09,0.75,2.8,138323.38461538462
2014-04-04,-0.008839380776485384,-0.016152932255333208,-0.027660182838449288,-0.018853265368571015,-0.0031079045954137685,-0.001616160397487909,0.004570124636814832,0.0032716429624015664,0.013315058316899053,0.003387408869551578,1.3713945,1.658898,0.9261495,103.608002,6.2015,4.623076923076923,6.3,236.5096153846154,104.81522307692308,101.77430653846153,11797.682423076923,0.09,0.75,2.74,138333.07692307694
2014-04-07,-0.011718470677402393,-0.011993454254764946,-0.017459372890715308,-0.011608976581354624,-0.004750491977463467,0.003035117269337695,0.0015164414011983318,0.0016307013541245752,-0.005256000637094749,0.0032356397211588117,1.374306,1.6610470000000002,0.9266979999999999,103.069,6.2023,4.638461538461538,6.3,236.5406923076923,104.83823846153845,101.7575308974359,11801.508038461538,0.09,0.75,2.71,138352.46153846153
2014-04-08,0.0033578349640639438,0.005421054681934878,0.007889190244135813,0.005973932428720241,-0.000596696148994047,0.011499015698571924,0.0005344169335430582,0.00040700092933443344,0.009446737348595358,0.006169443163678956,1.379329,1.675014,0.935104,101.95500200000001,6.1869,4.646153846153846,6.3,236.55623076923078,104.84974615384616,101.74914307692308,11803.420846153846,0.09,0.75,2.69,138362.15384615384
2014-04-09,0.008680118352178079,0.014300904752400978,0.020442164046079014,0.008152949381988517,0.012835863575294537,0.008775465672365979,0.0007123506360322551,0.0008135851704282882,0.0018241256824211849,-0.0025084451094595783,1.385502,1.6799950000000001,0.9378219999999999,102.10700200000001,6.1906,4.653846153846153,6.3,236.57176923076923,104.86125384615384,101.74075525641025,11805.333653846154,0.09,0.75,2.71,138371.84615384616
2014-04-10,-0.018455122145310643,-0.023922324222553137,-0.033884527571530265,-0.022364298024603824,-0.017683349930408543,-0.010478593269516279,0.003469416082459098,0.0024388995440516315,0.005462333755541504,-0.009499961657734368,1.3886379999999998,1.6777400000000002,0.9397610000000001,101.379997,6.2026,4.661538461538461,6.3,236.5873076923077,104.87276153846153,101.73236743589743,11807.246461538462,0.09,0.75,2.65,138381.53846153847
2014-04-11,-0.008133299785900938,-0.011484507916344255,-0.01657268224588304,-0.01123364871810384,-0.006000638654211521,-0.0001996465234394007,0.0025707863688844146,0.0012165894500557606,-0.0006298874005213895,-0.006064717397112229,1.386629,1.675354,0.939144,101.410999,6.202,4.669230769230769,6.3,236.60284615384614,104.88426923076922,101.72397961538462,11809.15926923077,0.09,0.75,2.63,138391.23076923078
2014-04-14,0.006815517241439251,0.007785137083531124,0.0023515325717036184,0.003718260676292884,0.005734910261927073,-0.0019985751228668303,-0.0019451743398792853,0.0004049377199657478,0.007248073741432215,0.005959904362532464,1.381712,1.672912,0.941176,101.903999,6.2091,4.684615384615384,6.3,236.63392307692308,104.90728461538461,101.70720397435898,11812.984884615384,0.09,0.75,2.65,138410.61538461538
2014-04-15,0.007509943092882887,0.005942678621214226,0.0025023210286594377,0.0056596003487292545,-0.004201741893214983,-0.011613819151549687,0.002480616158129445,-0.00040477381178127825,-0.01845913208383465,0.011849454095333334,1.3811959999999999,1.672548,0.934317,101.876999,6.212,4.692307692307692,6.3,236.64946153846154,104.9187923076923,101.69881615384615,11814.897692307692,0.09,0.75,2.64,138420.3076923077
2014-04-16,0.00839916111675909,0.012168961855681282,0.012402586945440275,0.007264990751658207,0.012356914617004833,0.010940023898816653,0.0006186917449619855,-0.0016199637361071773,0.0003984620351975554,0.0064126527819352575,1.3827049999999999,1.6805880000000002,0.937383,102.20099599999999,6.2114,4.699999999999999,6.3,236.66500000000002,104.93029999999999,101.69042833333333,11816.8105,0.09,0.75,2.65,138430.0
