Symbol;Name;Description
EURUSD=X;EUR/USD;Exchange Rate EUR to USD
GBPUSD=X;GBP/USD;Exchange Rate GBP to USD
AUDUSD=X;AUD/USD;Exchange Rate AUD to USD
JPY=X;USD/JPY;Exchange Rate USD to JPY
CNY=X;USD/CNY;Exchange Rate USD to CNY
