Episode,Episode Reward,Portfolio Value,Portfolio Return,Sharpe Ratio,Portfolio Variance,Cumulative Costs
1,-0.008801275458366387,989.9052458575035,-0.010094754142496498,-1.1502245154815334,5.5507931230358636e-05,0.0
2,-0.019891903330129055,986.9602672281866,-0.013039732771813473,-2.136439997635286,8.216828664897443e-05,0.0
3,-0.009192117060847726,993.1028389482617,-0.006897161051738321,-1.4428857896544276,3.981592196039664e-05,0.0
4,0.05186479532811873,1046.3549968066202,0.04635499680662014,6.094402149175341,7.609948800280617e-05,0.0
5,-0.0007412432688501374,1004.4426283411375,0.0044426283411374,-0.057120115447202,0.00010550711888331551,0.0
6,-0.0025162572043299844,997.1463478469038,-0.0028536521530961867,-0.3868736366177517,4.301636058857334e-05,0.0
7,-0.03365228204442011,970.0584731800773,-0.02994152681992268,-3.3270569091452935,9.780187518676768e-05,0.0
8,0.023571418757789245,1025.8861857282436,0.025886185728243527,4.139218399535682,3.355776705034035e-05,0.0
9,0.0190217572799315,1019.2366521824165,0.019236652182416547,2.8555251778762085,4.418566247035682e-05,0.0
10,0.020996846378020614,1025.1110757053673,0.025111075705367192,6.912617891690633,9.458238612251233e-06,0.0
11,-0.004520029925500791,1003.1573509095032,0.003157350909503087,-0.7242275455144817,3.794621264679405e-05,0.0
12,0.00792634375949029,1004.0052941110671,0.0040052941110670925,2.450920192269303,1.0703384491379533e-05,0.0
13,-0.050619568147693084,976.040909593538,-0.023959090406462047,-6.23356509058336,6.428962764472277e-05,0.0
14,0.04080005988637798,1044.4580942833431,0.04445809428334324,9.330461156797895,1.9871401202428667e-05,0.0
15,0.02845427809510918,1035.4189126674373,0.03541891266743735,2.56133625181029,0.000130299287737373,0.0
16,0.015628027988208105,1018.0510648597077,0.018051064859707644,1.9456599645044252,6.842056497829174e-05,0.0
17,-0.015455969797365045,981.9857557381713,-0.018014244261828738,-1.9448606296861617,6.762833036887308e-05,0.0
18,0.00966936074095565,1003.368252977301,0.003368252977301145,1.6684601275922222,3.382602169385743e-05,0.0
19,-0.006123379400524162,995.3699000468652,-0.004630099953134792,-0.6440044754471292,8.142177310121119e-05,0.0
20,-0.020232397368833914,977.2048556514768,-0.022795144348523144,-3.6628437573470984,2.9747280631556836e-05,0.0
21,0.06724080163969896,1068.2596814215026,0.06825968142150263,9.19035159003386,5.752279415092756e-05,0.0
22,0.038262549698279635,1046.551957131502,0.04655195713150184,7.182248080243698,2.9499671470559422e-05,0.0
23,-0.03170421916867737,965.4619104087552,-0.034538089591244825,-2.940854707883468,0.00011646890809617674,0.0
24,0.039276441592237976,1039.9497069794973,0.03994970697949718,8.787263099233854,2.071013985322508e-05,0.0
25,-0.012533233015471311,984.3732495196709,-0.01562675048032902,-1.642449425010457,5.7031421932114495e-05,0.0
26,-0.006342382703853202,981.514429317312,-0.01848557068268808,-0.8556277065676956,6.798704103260921e-05,0.0
27,0.02943968869536281,1029.3185331638929,0.02931853316389299,5.703802904259133,2.7297563799973545e-05,0.0
