,,Average,Std Deviation,Variance,Maximum,Minimum
Epoch 1,Episode Reward,0.0014656626561673108,0.02453410290367643,0.0006019222052881843,0.07928461902368844,-0.07247060563847746
Epoch 1,Portfolio Value,1001.3967590434854,23.938512972270942,573.0524033235843,1068.8661203635802,936.4114668560828
Epoch 1,Portfolio Return,0.0013967590434856914,0.023938512972270936,0.000573052403323584,0.06886612036358009,-0.06358853314391721
Epoch 1,Sharpe Ratio,0.22640534256628275,4.022387963098456,16.17960492567935,10.55632548406283,-11.979628991848355
Epoch 1,Portfolio Variance,3.8195272780735414e-05,1.343877045609757e-05,1.8060055137168085e-10,6.40559192397275e-05,1.3213853202317833e-05
Epoch 1,Cumulative Costs,4.202538177971741,1.1842904848446996,1.4025439524936938,6.101623831588453,1.2927543738718879
Epoch 2,Episode Reward,0.001427215641025935,0.024529758290830785,0.0006017090418065816,0.0784765957385713,-0.07279237647108366
Epoch 2,Portfolio Value,1001.3550343609899,23.937311294128275,572.994871992001,1068.120758251658,936.5832800923648
Epoch 2,Portfolio Return,0.0013550343609900718,0.02393731129412828,0.0005729948719920012,0.06812075825165786,-0.0634167199076352
Epoch 2,Sharpe Ratio,0.21447684085150748,4.020037021056335,16.160697650663494,10.499792533479152,-12.056281705284558
Epoch 2,Portfolio Variance,3.824818575709047e-05,1.346959394795702e-05,1.8142996112284036e-10,6.389372463500367e-05,1.3616205212268648e-05
Epoch 2,Cumulative Costs,4.240035053864273,1.2153792599702824,1.4771467455659115,6.343857859616794,1.4669137898189535
Epoch 3,Episode Reward,0.0014583331938191541,0.024614659740511646,0.0006058814741411649,0.07931573671395178,-0.07298396646964062
Epoch 3,Portfolio Value,1001.3792818540793,24.006871515621597,576.3298799675637,1068.9299311856917,936.1391783582776
Epoch 3,Portfolio Return,0.0013792818540794161,0.024006871515621607,0.0005763298799675641,0.06892993118569168,-0.06386082164172235
Epoch 3,Sharpe Ratio,0.22223074777239077,4.0375939735331245,16.302165095111004,10.615708781928637,-12.158259989083707
Epoch 3,Portfolio Variance,3.8274733294668815e-05,1.365739554218389e-05,1.8652445299566438e-10,6.459935758715717e-05,1.3524447332447935e-05
Epoch 3,Cumulative Costs,4.249654682986362,1.2023075993685828,1.4455435634994447,6.507618566260331,1.4489517604097817
Epoch 4,Episode Reward,0.0014224484148694398,0.024541525341199886,0.0006022864660727562,0.07866271381617736,-0.07251696597573389
Epoch 4,Portfolio Value,1001.3596396070953,23.945203690913637,573.372779799344,1068.0775696762646,934.9691072948584
Epoch 4,Portfolio Return,0.0013596396070951232,0.02394520369091364,0.0005733727797993443,0.06807756967626455,-0.06503089270514162
Epoch 4,Sharpe Ratio,0.21083103815447582,4.020633024068741,16.16548991423215,10.388107534681614,-11.992260089194223
Epoch 4,Portfolio Variance,3.8268473865158e-05,1.3578941000574195e-05,1.8438763869707491e-10,6.573838108977191e-05,1.3529048268667255e-05
Epoch 4,Cumulative Costs,4.248925284999317,1.2194511864299133,1.4870611960853235,6.6503987435997125,1.414469731299409
Epoch 5,Episode Reward,0.0013746334892494505,0.024578760896869077,0.0006041154872254604,0.07891995990157566,-0.07299612749225327
Epoch 5,Portfolio Value,1001.3131573473892,23.99383752810304,575.7042393250058,1068.7834928919174,935.2894898709733
Epoch 5,Portfolio Return,0.0013131573473895352,0.02399383752810304,0.0005757042393250058,0.06878349289191732,-0.06471051012902673
Epoch 5,Sharpe Ratio,0.2069787906805442,4.0288554448869895,16.231676195795544,10.664125284625765,-12.016870478458557
Epoch 5,Portfolio Variance,3.831778816377208e-05,1.3565689227224284e-05,1.84027924209629e-10,6.343879818544715e-05,1.3741934897666603e-05
Epoch 5,Cumulative Costs,4.264963961490072,1.2057372118718441,1.4538022240924882,6.5722506234523115,1.4805475293806927
Epoch 6,Episode Reward,0.0014369757882319442,0.024542328424220796,0.0006023258844823161,0.07935893781585353,-0.07202065620389696
Epoch 6,Portfolio Value,1001.3576204337558,23.946554098317844,573.4374531836631,1068.9583709879223,935.0175350511274
Epoch 6,Portfolio Return,0.0013576204337559295,0.023946554098317845,0.0005734374531836632,0.06895837098792224,-0.06498246494887261
Epoch 6,Sharpe Ratio,0.21434463474426857,4.008545342648005,16.068435764065008,10.494874703125031,-11.814528611720947
Epoch 6,Portfolio Variance,3.8442238730035905e-05,1.3543926727228885e-05,1.8343795119254495e-10,6.368806136969745e-05,1.3667185426898103e-05
Epoch 6,Cumulative Costs,4.267390648724261,1.22975600578877,1.5122998337735494,6.620988131631441,1.4065489442421646
Epoch 7,Episode Reward,0.0013715162057382105,0.0244281039293624,0.0005967322615837307,0.07865125251178062,-0.07210504014729362
Epoch 7,Portfolio Value,1001.2866403976628,23.850880244587852,568.8644884416711,1068.5083164472328,935.5294804097804
Epoch 7,Portfolio Return,0.0012866403976631057,0.02385088024458785,0.000568864488441671,0.06850831644723288,-0.06447051959021965
Epoch 7,Sharpe Ratio,0.21219140545095397,3.996810262375513,15.974492273430215,10.66084834669389,-11.881107486478282
Epoch 7,Portfolio Variance,3.840354719313972e-05,1.344855832976426e-05,1.8086372114907168e-10,6.353941364275768e-05,1.3668010602278282e-05
Epoch 7,Cumulative Costs,4.2990873957504405,1.194112955391767,1.4259057502344605,6.776573622136455,1.6021348716890167
Epoch 8,Episode Reward,0.001408067368116997,0.02449819093290691,0.0006001613589851623,0.07863402712942769,-0.07213157668120532
Epoch 8,Portfolio Value,1001.3346062625136,23.90536090252766,571.4662798800981,1068.3491083284484,936.2064192522245
