,,Average,Std Deviation,Variance,Maximum,Minimum
Epoch 1,Episode Reward,0.0015895333283002333,0.02453138524157217,0.000601788861870425,0.079241425196377,-0.0727942147834513
Epoch 1,Portfolio Value,1001.5141187497034,23.94132799450765,573.1871861405956,1069.0258071847304,935.6815538070283
Epoch 1,Portfolio Return,0.001514118749703015,0.023941327994507645,0.0005731871861405954,0.0690258071847305,-0.06431844619297167
Epoch 1,Sharpe Ratio,0.23566555287019425,4.016079315842388,16.128893071137067,10.637270134433036,-11.945575105065297
Epoch 1,Portfolio Variance,3.824309901729823e-05,1.3625179177672893e-05,1.8564550762369097e-10,6.308218719002199e-05,1.314205732080903e-05
Epoch 1,Cumulative Costs,4.081059033441728,1.1833784825033677,1.4003846328519733,6.188952078111326,1.308575671561704
Epoch 2,Episode Reward,0.0015818625641804925,0.02452705589408188,0.0006015764708314168,0.07874012070291596,-0.07258231246822078
Epoch 2,Portfolio Value,1001.5083791631127,23.93342529899638,572.8088465426399,1068.5461836644333,935.7070535929287
Epoch 2,Portfolio Return,0.001508379163112722,0.02393342529899639,0.0005728088465426405,0.06854618366443344,-0.06429294640707128
Epoch 2,Sharpe Ratio,0.24150975864736274,4.021700613195114,16.174075822173958,10.564267081507317,-11.967673276956129
Epoch 2,Portfolio Variance,3.8126393581195854e-05,1.360799601433711e-05,1.8517755552621469e-10,6.41779210680846e-05,1.3212822361295151e-05
Epoch 2,Cumulative Costs,4.0800338845290085,1.1903649907158562,1.4169688111219605,6.134463359594318,1.3012077101739024
Epoch 3,Episode Reward,0.0015898921839215888,0.02442181490945273,0.0005964250434715675,0.07933834161313973,-0.07185830882434634
Epoch 3,Portfolio Value,1001.5186550033224,23.828492108634272,567.7970361712457,1069.1459027981755,936.0823598101567
Epoch 3,Portfolio Return,0.0015186550033223557,0.02382849210863428,0.000567797036171246,0.06914590279817556,-0.06391764018984325
Epoch 3,Sharpe Ratio,0.24209870434185757,4.004698335482942,16.03760875821985,10.625044201786137,-11.880334151703607
Epoch 3,Portfolio Variance,3.803168186514664e-05,1.3514318916490931e-05,1.826368157766246e-10,6.30603173601269e-05,1.3062289957900912e-05
Epoch 3,Cumulative Costs,4.088321157505838,1.2177987450868872,1.4830337835351974,6.254726311240038,1.1951536831492904
Epoch 4,Episode Reward,0.0016011961302950873,0.02441584204415516,0.0005961333427251347,0.07904410198022838,-0.07157504103036338
Epoch 4,Portfolio Value,1001.5344068666097,23.844868477050408,568.5777526878322,1068.8174452047633,935.5246433361303
Epoch 4,Portfolio Return,0.001534406866609418,0.023844868477050404,0.0005685777526878321,0.0688174452047634,-0.06447535666386961
Epoch 4,Sharpe Ratio,0.24164361814856716,4.013869308527899,16.11114682594223,10.609680595217295,-12.00576640703918
Epoch 4,Portfolio Variance,3.794062828363072e-05,1.3511230040794066e-05,1.8255333721525603e-10,6.350157897545906e-05,1.3107722461581026e-05
Epoch 4,Cumulative Costs,4.060939786252172,1.1902128238714,1.4166065661079321,5.991731046090672,1.229245123928676
Epoch 5,Episode Reward,0.0016275754351797306,0.024389816252340654,0.0005948631368229403,0.07847693987603963,-0.07165811444800749
Epoch 5,Portfolio Value,1001.5505634814948,23.803477787031664,566.6055547577099,1068.2184092329599,936.375194071403
Epoch 5,Portfolio Return,0.0015505634814944136,0.023803477787031662,0.0005666055547577098,0.06821840923295985,-0.06362480592859698
Epoch 5,Sharpe Ratio,0.24547554362849497,4.02534286801054,16.20338520504332,10.517180635257354,-12.163456034430629
Epoch 5,Portfolio Variance,3.77912059852377e-05,1.3446404643163694e-05,1.8080579782769413e-10,6.327619974707195e-05,1.2939464080833686e-05
Epoch 5,Cumulative Costs,4.058699947672785,1.2005733004084995,1.4413762496537572,6.143683946961637,1.2469647275959297
Epoch 6,Episode Reward,0.0015757063817156893,0.02444380615798304,0.0005974996594890495,0.078953487633436,-0.07189531440323886
Epoch 6,Portfolio Value,1001.5112091704339,23.837247426350235,568.2143648650409,1068.8302989730457,935.9554247796202
Epoch 6,Portfolio Return,0.0015112091704340004,0.023837247426350235,0.0005682143648650409,0.06883029897304582,-0.06404457522037976
Epoch 6,Sharpe Ratio,0.24111918403395458,4.031747076799355,16.254984491280144,10.627229488510503,-12.037310669232276
Epoch 6,Portfolio Variance,3.779776575051358e-05,1.3430398591124391e-05,1.8037560631647603e-10,6.208144605373203e-05,1.2914234551680526e-05
Epoch 6,Cumulative Costs,4.043848859493296,1.1931672186314988,1.4236480116168266,6.043680841530199,1.2467254714691505
Epoch 7,Episode Reward,0.0015456331315864768,0.024446796768504055,0.0005976458722405403,0.07965547728186903,-0.07178342127861359
Epoch 7,Portfolio Value,1001.4659310479867,23.846825110899175,568.6710678698115,1069.5042226266878,936.1341532662328
Epoch 7,Portfolio Return,0.0014659310479860621,0.023846825110899177,0.0005686710678698115,0.06950422262668776,-0.06386584673376716
Epoch 7,Sharpe Ratio,0.22915783078594198,4.028848145366877,16.231617378426122,10.707869373082922,-12.208184707527295
Epoch 7,Portfolio Variance,3.8009611842129575e-05,1.3499188982536047e-05,1.8222810318622257e-10,6.433470036870433e-05,1.2948837506312735e-05
Epoch 7,Cumulative Costs,4.0677337641801685,1.188177272510261,1.4117652309099231,6.209615244951424,1.1678908050232772
Epoch 8,Episode Reward,0.0015642012488730238,0.024469632635117988,0.0005987629212976313,0.079034723282231,-0.07156377737198856
Epoch 8,Portfolio Value,1001.4903442991199,23.86033140632289,569.3154148195584,1068.814524021092,936.634531262981
