,,Average,Std Deviation,Variance,Maximum,Minimum
Epoch 1,Episode Reward,0.0019703431996568412,0.02426404690374105,0.0005887439721469457,0.0784088103645135,-0.07042976255978778
Epoch 1,Portfolio Value,1001.8732951868071,23.749977040066057,564.0614094036648,1068.1439497750216,936.6778913771697
Epoch 1,Portfolio Return,0.0018732951868071757,0.02374997704006606,0.0005640614094036651,0.06814394977502158,-0.06332210862283039
Epoch 1,Sharpe Ratio,0.3040247997990547,4.009346191883999,16.074856886374725,10.552730653596774,-11.972953052384419
Epoch 1,Portfolio Variance,3.785053372635273e-05,1.296937709526864e-05,1.6820474223927883e-10,6.178708163323875e-05,1.3768919246221017e-05
Epoch 1,Cumulative Costs,3.771229253713779,1.1201156241548045,1.2546590114757072,5.949693080217564,1.0782493700064593
Epoch 2,Episode Reward,0.0021607462858966075,0.024662668480024137,0.000608247216555576,0.07994777543432331,-0.07464372946824147
Epoch 2,Portfolio Value,1002.0963207152809,24.08300794918352,579.9912718804367,1069.502877860472,937.6034316385436
Epoch 2,Portfolio Return,0.002096320715280441,0.024083007949183523,0.0005799912718804369,0.06950287786047182,-0.06239656836145635
Epoch 2,Sharpe Ratio,0.332911375434141,4.043724410806767,16.351707110554536,10.640636681555323,-12.001772991175951
Epoch 2,Portfolio Variance,3.82431388760104e-05,1.3106118726234754e-05,1.7177034806616128e-10,6.283919441822471e-05,1.3992532373308551e-05
Epoch 2,Cumulative Costs,3.720766454609466,1.2137342014961943,1.4731507118816043,6.110195242792363,1.0904242095249002
Epoch 3,Episode Reward,0.0020787986064175743,0.02428830372381467,0.0005899216977802694,0.07881603046281796,-0.07247034520517072
Epoch 3,Portfolio Value,1002.0219581252713,23.71798869583623,562.5429877758152,1068.6242086549653,939.4853967737848
Epoch 3,Portfolio Return,0.002021958125271217,0.02371798869583623,0.0005625429877758152,0.06862420865496532,-0.06051460322621516
Epoch 3,Sharpe Ratio,0.32452835194306007,4.054210932198425,16.436626282757228,10.7082773040183,-12.048356207026568
Epoch 3,Portfolio Variance,3.707665780788415e-05,1.280778196327372e-05,1.6403927881875962e-10,6.163595811996389e-05,1.3157897378425295e-05
Epoch 3,Cumulative Costs,3.725113190398204,1.2262855802227053,1.503776324262137,6.19680769539282,1.0835113324525179
Epoch 4,Episode Reward,0.0021416235256451486,0.02410040396457865,0.0005808294712558782,0.07867786955210435,-0.07056413872991094
Epoch 4,Portfolio Value,1002.0546931862543,23.586783540460306,556.3363577845292,1068.3010706769535,938.7359688313111
Epoch 4,Portfolio Return,0.0020546931862540528,0.02358678354046031,0.0005563363577845293,0.06830107067695357,-0.06126403116868895
Epoch 4,Sharpe Ratio,0.33330245577429674,4.035281344840552,16.283495532018176,10.665946892506927,-11.898323959408506
Epoch 4,Portfolio Variance,3.70118439449551e-05,1.2813402973329182e-05,1.6418329575692112e-10,6.039750705908954e-05,1.3290866505246368e-05
Epoch 4,Cumulative Costs,3.686873673815228,1.2285620347615922,1.5093646732575436,6.158562309215796,1.0208645894067103
Epoch 5,Episode Reward,0.002336252061520277,0.024290050502063308,0.000590006553392786,0.07961686588765683,-0.07242887926537192
Epoch 5,Portfolio Value,1002.2677894107441,23.761492470356437,564.6085244188057,1069.1680208074172,938.6795632863085
Epoch 5,Portfolio Return,0.00226778941074421,0.023761492470356443,0.000564608524418806,0.06916802080741724,-0.06132043671369147
Epoch 5,Sharpe Ratio,0.36754919611378567,4.047060921003,16.378702098309653,10.688540946531667,-12.08636182197106
Epoch 5,Portfolio Variance,3.72853161812202e-05,1.302899488529555e-05,1.697547077210576e-10,6.175945271383589e-05,1.3460531805724608e-05
Epoch 5,Cumulative Costs,3.5708253857130257,1.223275737776108,1.4964035306316814,6.289640644636304,0.8786706999244737
Epoch 6,Episode Reward,0.0027383979044623653,0.025461703266669272,0.0006482983332399166,0.08358844145171367,-0.07905532955097873
Epoch 6,Portfolio Value,1002.6499999631133,24.76459032614879,613.2849340219824,1071.1397884201588,935.0452818531622
Epoch 6,Portfolio Return,0.0026499999631125802,0.02476459032614879,0.0006132849340219823,0.07113978842015878,-0.06495471814683773
Epoch 6,Sharpe Ratio,0.39071128667583443,3.9796873604717975,15.837911487098983,9.657467594270281,-11.951348785008877
Epoch 6,Portfolio Variance,4.210319908937002e-05,1.5131847168536639e-05,2.289727987319503e-10,8.15000690560362e-05,1.5622778599626796e-05
Epoch 6,Cumulative Costs,3.716007292978897,1.2495968457232978,1.561492276841615,5.957007608170634,0.9247054582714574
Epoch 7,Episode Reward,0.002857369547829096,0.026121117720735252,0.0006823127909805092,0.0835927054089094,-0.08528860261249198
Epoch 7,Portfolio Value,1002.8261306850649,25.44716127263046,647.5580168352634,1072.0211054553367,930.8105772582838
Epoch 7,Portfolio Return,0.0028261306850643464,0.025447161272630452,0.0006475580168352631,0.0720211054553368,-0.06918942274171613
Epoch 7,Sharpe Ratio,0.4182584256204681,3.9532355261862837,15.628071125501345,10.29156381906335,-11.58259364212922
Epoch 7,Portfolio Variance,4.430458137958348e-05,1.5912524600514633e-05,2.5320843916198335e-10,8.063133493931617e-05,1.647231798629025e-05
Epoch 7,Cumulative Costs,3.6848875432345607,1.3049354255088688,1.7028564647480122,6.696546933063039,1.0259776944298877
Epoch 8,Episode Reward,0.002922893830575316,0.025593984076681994,0.0006550520209174515,0.08379877304387014,-0.07719378946349063
Epoch 8,Portfolio Value,1002.887148387013,25.040774760554473,627.0404006088219,1072.473457263766,935.8836160837582
