,Average,Std Deviation,Variance,Maximum,Minimum
Episode Reward,0.009531858156086875,0.027334341149252855,0.0007471662060637379,0.0784875894070343,-0.05741762502909396
Portfolio Value,1010.0762993283013,27.301668944399715,745.3811271495998,1079.0510426753265,937.2735454787951
Portfolio Return,0.010076299328301792,0.027301668944399723,0.0007453811271496003,0.07905104267532637,-0.06272645452120496
Sharpe Ratio,1.7530562674482564,4.21854862849298,17.79615253096,12.04171699008865,-7.558488337240029
Portfolio Variance,5.200230004851049e-05,2.875430921534696e-05,8.268102984517872e-10,0.000130299287737373,7.907443206766423e-06
Cumulative Costs,0.0,0.0,0.0,0.0,0.0
